artist,genre
JIMMY REED,"['chicago blues', 'blues', 'traditional blues', 'memphis blues', 'swamp blues', 'delta blues', 'louisiana blues', 'acoustic blues', 'electric blues', 'soul blues', 'harmonica blues', 'jazz blues', 'country blues', 'piedmont blues', 'texas blues', 'piano blues', 'modern blues', 'jazz christmas']"
Moot Davis,"['honky tonk', 'neo honky tonk', 'deep contemporary country', 'texas country']"
JOHN CULLITON MAHONEY,[]
Shae Jones,"['new jack swing', 'r&b', 'urban contemporary']"
Ricky Martin,"['latin', 'latin pop', 'hurban', 'latin christmas', 'dance pop', 'pop christmas']"
CHECKMATES LTD,[]
IDRIS MUHAMMAD,"['jazz funk', 'soul jazz']"
FLO RIDA featuring SAGE THE GEMINI & LOOKAS,"['pop rap', 'dance pop', 'southern hip hop', 'pop', 'hip pop', 'trap music']"
BEYONCE featuring ANDRE 3000,"['dance pop', 'r&b', 'pop', 'urban contemporary']"
MELANIE,"['traditional folk', 'folk rock', 'folk-pop', 'folk', 'singer-songwriter', 'folk christmas', 'mellow gold', 'soft rock']"
Benedikt Frey,"['outsider house', 'deep melodic house', 'deep soul house']"
Roni Size,"['jungle', 'drum and bass', 'breakbeat', 'big beat', 'electronic', 'trip hop']"
THE SOUL TRAIN GANG,[]
MARIO featuring GUCCI MANE & SEAN GARRETT,"['r&b', 'urban contemporary', 'dance pop', 'hip pop', 'neo soul', 'indie r&b']"
DINA CARROLL,[]
Daniel G. Harmann,['seattle indie']
ISLEY BROTHERS featuring ANGELA WINBUSH,"['soul christmas', 'quiet storm', 'soul', 'funk', 'motown', 'funk rock', 'classic funk rock', 'soul blues']"
OLLY MURS featuring CHIDDY BANG,"['talent show', 'pop', 'teen pop']"
Russell Taylor,['neo soul-jazz']
100 PROOF AGED IN SOUL,[]
LAURA BRANIGAN,"['new wave pop', 'hi nrg', 'disco', 'europop', 'new romantic', 'soft rock']"
Rockstroh,['pop house']
SeHou,['deep tech house']
ARCHIES,"['bubblegum pop', 'british invasion', 'merseybeat', 'brill building pop']"
ATLANTA DISCO BAND,[]
Momma's Boy,"['destroy techno', 'fidget house']"
